Event	Peptide	Mutation_chromosome	Mutation_Location	Mutation_allele	QPCR_Datatype	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24	Sample_25	Sample_26	Sample_27	Sample_28	Sample_29	Sample_30	Sample_31	Sample_32	Sample_33	Sample_34	Sample_35	Sample_36	Sample_37	Sample_38	Sample_39	Sample_40	Sample_41	Sample_42	Sample_43	Sample_44	Sample_45	Sample_46	Sample_47	Sample_48	Sample_49	Sample_50	Sample_51	Sample_52	Sample_53	Sample_54	Sample_55	Sample_56	Sample_57	Sample_58	Sample_59	Sample_60	Sample_61	Sample_62	Sample_63	Sample_64	Sample_65	Sample_66	Sample_67	Sample_68	Sample_69	Sample_70	Sample_71	Sample_72	Sample_73	Sample_74	Sample_75	Sample_76	Sample_77	Sample_78	Sample_79	Sample_80	Sample_81	Sample_82	Sample_83	Sample_84	Sample_85	Sample_86	Sample_87	Sample_88	Sample_89	Sample_90	Sample_91	Sample_92	Sample_93	
8	0.000000;
9	0.000000;
12	0.000000;
16	0.000000;
18	0.000000;
19	0.000000;
27	0.000000;
29	0.000000;
33	0.000000;
34	0.000000;
35	0.000000;
36	0.000000;
40	0.000000;
45	0.000000;
58	0.000000;
63	0.000000;
66	0.000000;
70	0.000000;
83	0.000000;
84	0.000000;
91	0.000000;
92	0.000000;
94	0.000000;
98	0.000000;
165	2.056224;2.0,2.80735492206,2.58496250072,1.0,2.0,2.0,3.0,1.58496250072,2.0,1.58496250072,
192	0.000000;
236	0.000000;
269	0.000000;
271	0.000000;
274	0.000000;
361	0.000000;
365	0.000000;
509	0.000000;
509	0.000000;
510	4.172908;7.1395513524,3.70043971814,1.58496250072,6.12928301694,3.80735492206,3.45943161864,4.75488750216,2.80735492206,
510	4.172908;7.1395513524,3.70043971814,1.58496250072,6.12928301694,3.80735492206,3.45943161864,4.75488750216,2.80735492206,
511	0.000000;
511	0.000000;
512	0.000000;
512	0.000000;
513	0.000000;
513	0.000000;
514	0.000000;
514	0.000000;
515	0.000000;
515	0.000000;
523	0.000000;
542	0.000000;
548	0.000000;
577	0.000000;
578	0.000000;
579	0.000000;
580	0.000000;
586	0.000000;
588	0.000000;
589	0.000000;
589	0.000000;
596	0.000000;
600	0.000000;
602	0.000000;
605	0.000000;
608	0.000000;
610	0.000000;
616	0.000000;
617	0.000000;
620	0.000000;
623	0.000000;
623	0.000000;
631	0.000000;
633	0.000000;
647	0.000000;
652	0.000000;
653	0.000000;
655	2.415363;2.32192809489,3.16992500144,3.58496250072,1.0,2.0,
659	0.000000;
660	0.000000;
662	0.000000;
665	0.000000;
667	0.000000;
670	0.000000;
689	0.000000;
691	0.000000;
691	0.000000;
693	0.000000;
694	0.000000;
695	0.000000;
698	0.000000;
699	0.000000;
700	0.000000;
722	0.000000;
729	0.000000;
731	0.000000;
740	0.000000;
741	0.000000;
747	0.000000;
749	0.000000;
760	0.000000;
761	0.000000;
776	0.000000;
777	0.000000;
779	0.000000;
780	0.000000;
782	0.000000;
789	0.000000;
792	0.000000;
793	0.000000;
800	0.000000;
801	0.000000;
801	0.000000;
806	0.000000;
807	0.000000;
809	0.000000;
813	0.000000;
815	0.000000;
825	0.000000;
833	0.000000;
854	0.000000;
855	0.000000;
860	0.000000;
873	2.000000;2.0,
874	1.000000;1.0,
875	1.677976;1.0,2.32192809489,1.58496250072,2.32192809489,2.0,1.0,1.58496250072,2.0,2.0,1.0,1.0,2.32192809489,
876	1.568183;2.80735492206,1.0,1.0,2.0,1.0,1.58496250072,1.58496250072,
877	4.013430;1.0,6.87036471958,4.16992500144,
878	0.000000;
879	0.000000;
880	0.000000;
881	0.000000;
882	0.000000;
883	0.000000;
883	1.000000;1.0,
884	1.975489;1.58496250072,1.0,3.0,1.0,1.0,3.0,1.58496250072,3.0,1.58496250072,3.0,
885	0.000000;
887	0.000000;
888	1.736852;2.80735492206,1.0,1.0,4.08746284125,1.0,1.0,1.0,2.0,
889	0.000000;
890	0.000000;
890	2.584963;2.58496250072,
891	0.000000;
892	0.000000;
893	0.000000;
894	0.000000;
896	0.000000;
897	0.000000;
898	0.000000;
899	0.000000;
900	0.000000;
901	1.928546;4.0,2.0,2.80735492206,1.0,1.58496250072,1.0,1.0,1.0,1.0,2.32192809489,6.28540221886,1.0,1.0,1.0,
902	0.000000;
903	0.000000;
904	0.000000;
905	1.704428;1.58496250072,2.0,2.58496250072,1.0,1.0,1.0,2.58496250072,1.0,2.58496250072,
905	1.389975;1.0,1.58496250072,1.58496250072,1.58496250072,1.58496250072,1.0,1.0,1.0,1.58496250072,1.58496250072,1.58496250072,1.58496250072,
906	1.657054;2.0,2.0,2.0,1.58496250072,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.58496250072,2.0,1.0,2.0,
907	0.000000;
908	0.000000;
909	0.000000;
910	1.885069;2.32192809489,1.58496250072,1.0,1.58496250072,1.58496250072,1.0,4.24792751344,1.0,2.0,1.0,1.0,1.0,3.16992500144,2.32192809489,3.45943161864,
911	2.038316;1.0,2.0,1.0,1.0,2.58496250072,3.0,3.16992500144,3.45943161864,2.32192809489,2.32192809489,1.58496250072,3.58496250072,1.0,2.0,1.0,1.58496250072,
911	0.000000;
912	0.000000;
